__id,carat,cut,color,clarity,depth,table,label,x,y,z
20396,0.31,2,3,4,62.8,58.0,625,4.27,4.3,2.69
23868,1.71,3,1,3,62.8,59.0,11958,7.58,7.52,4.74
38253,0.31,3,0,3,62.5,60.0,380,4.31,4.36,2.71
52207,0.7,4,3,2,61.0,56.0,2480,5.77,5.8,3.53
25919,2.08,3,1,2,60.3,59.0,15065,8.26,8.22,4.97
34006,0.42,3,2,4,61.7,59.0,847,4.76,4.83,2.96
44998,0.31,3,1,2,62.3,59.0,523,4.32,4.29,2.68
22054,1.16,4,3,7,62.0,57.0,10082,6.73,6.7,4.16
14394,0.3,2,3,4,62.5,55.0,605,4.25,4.32,2.68
52828,0.7,4,4,2,62.1,56.0,2573,5.65,5.67,3.51
13074,1.17,4,6,1,62.5,56.0,5412,6.77,6.7,4.21
10609,1.1,2,2,2,61.6,56.0,4827,6.61,6.66,4.09
17597,1.22,4,5,2,61.7,56.0,7085,6.88,6.92,4.26
38017,0.39,3,2,4,61.7,57.0,1009,4.68,4.65,2.88
10502,1.0,0,4,2,65.4,59.0,4798,6.27,6.2,4.08
45974,0.3,3,5,2,62.5,60.0,526,4.24,4.27,2.66
29117,0.34,3,2,3,62.6,60.0,689,4.46,4.42,2.78
33693,0.33,4,3,6,61.6,55.0,838,4.46,4.47,2.75
13556,0.9,0,5,5,58.1,59.0,5551,6.21,6.26,3.62
27955,0.27,4,1,4,62.5,54.0,432,4.16,4.19,2.61
1599,1.2,0,1,0,62.2,66.0,3011,6.77,6.7,4.2
28588,0.3,4,3,3,62.5,53.0,675,4.3,4.27,2.68
25000,1.5,2,3,3,61.1,60.0,13528,7.4,7.3,4.49
6016,0.94,2,5,1,62.0,60.0,3963,6.19,6.22,3.85
33532,0.35,4,6,3,61.9,55.0,829,4.5,4.54,2.8
53186,0.75,3,3,2,60.9,58.0,2631,5.87,5.83,3.56
34138,0.32,4,4,6,61.6,55.0,854,4.42,4.44,2.73
21227,1.2,4,3,5,62.2,56.0,9373,6.76,6.81,4.22
27138,2.01,3,2,2,61.8,58.0,17347,8.13,8.06,5.0
20276,1.21,4,3,4,61.1,58.0,8699,6.9,6.87,4.21
